"prov" "agno" "casos" "esp" "long" "lat"
"400" 50 1982 78 85.2682067813937 -1.05613701304700 41.6309680140457
"401" 1 1983 25 17.9451116791586 -2.69920255095887 42.8362688079098
"402" 2 1983 50 35.6087289769231 -1.98432704501776 38.8405206642905
"403" 3 1983 107 96.5593499071771 -0.576909403944958 38.4974913538265
"404" 4 1983 26 33.0118683812056 -2.35604061514020 37.2133431727737
"405" 5 1983 25 26.2431528712705 -4.93788312937989 40.5815877800085
"406" 6 1983 60 64.4629716803433 -6.13905369866462 38.7256674878886
"407" 7 1983 70 65.8679121497417 2.91946602099717 39.6320217153478
"408" 8 1983 387 365.222943207083 1.99811663925652 41.7469265779753
"409" 9 1983 36 41.2260821729969 -3.59134675355039 42.3729704312902
"410" 10 1983 29 46.1620455796534 -6.15535052135614 39.7231926273179
"411" 11 1983 68 56.7595862741649 -5.76468483106548 36.5624969412696
"412" 12 1983 74 49.1115701556491 -0.148039282559446 40.2507348146576
"413" 13 1983 49 48.2418910841241 -3.81339188792 38.9298215736108
"414" 14 1983 45 64.3759054006902 -4.81499528758521 38.0049023897714
"415" 15 1983 98 100.093560735542 -8.45971855216294 43.1280401889178
"416" 16 1983 29 32.5868104545602 -2.19548700715003 39.9086860718255
"417" 17 1983 61 47.5628884677037 2.68708796205338 42.145865652011
"418" 18 1983 63 63.5802226497686 -3.2725162184824 37.3330507124855
"419" 19 1983 8 23.2222275710174 -2.62128556282702 40.8274558690964
"420" 20 1983 45 48.4483056939757 -2.16792853126469 43.1528089188849
"421" 21 1983 52 34.3982855504149 -6.83265276754075 37.5978334583402
"422" 22 1983 22 32.3804337892316 -0.059609139223607 42.2142401605038
"423" 23 1983 56 61.2730171624186 -3.44979781370444 38.0308250493701
"424" 24 1983 67 60.6972883325276 -5.82870631120274 42.634323440999
"425" 25 1983 47 45.9431851588093 1.05797639294180 42.0569667018661
"426" 26 1983 30 26.544606825583 -2.50129759774743 42.2834647638459
"427" 27 1983 67 63.6360229343857 -7.43968312456498 43.0234823442494
"428" 28 1983 228 318.355757242252 -3.71281962879811 40.5070988091236
"429" 29 1983 84 70.9282217352457 -4.73055642619482 36.8262859308411
